Character 1,Character 2,Scenes Together
Claire,Phil,189
Cameron,Mitchell,173
Gloria,Jay,127
Luke,Phil,95
Jay,Manny,86
Claire,Haley,84
Gloria,Manny,78
Haley,Phil,71
Alex,Claire,67
Claire,Luke,64
Jay,Phil,60
Alex,Phil,59
Jay,Mitchell,55
Alex,Haley,53
Mitchell,Phil,52
Alex,Luke,50
Gloria,Phil,45
Claire,Mitchell,41
Claire,Gloria,40
Cameron,Phil,40
Haley,Luke,40
Claire,Jay,38
Cameron,Jay,36
Cameron,Claire,36
Manny,Phil,34
Cameron,Gloria,33
Manny,Mitchell,31
Gloria,Mitchell,29
Jay,Luke,28
Claire,Manny,25
Alex,Gloria,25
Luke,Manny,21
Alex,Jay,21
Cameron,Manny,19
Haley,Jay,18
Alex,Manny,17
Haley,Mitchell,17
Gloria,Haley,17
Luke,Mitchell,16
Cameron,Haley,15
Gloria,Luke,15
Cameron,Luke,15
Haley,Manny,11
Alex,Mitchell,10
Alex,Cameron,9
